"date","Points","Ranking","HighestRanking"
"4/26/2011",182.566668668333,24070.6666666667,2483.66666666667
"4/27/2011",297.657144579429,22592.4285714286,2116.85714285714
"4/28/2011",713.016671428333,16291.5,2753
"4/29/2011",435.157144817143,17422.4285714286,3647.85714285714
"4/30/2011",206.8,22496.2,1643
"5/1/2011",283.7666626,19369.3333333333,3511.33333333333
"5/2/2011",722.814284616857,20592,2887
"5/3/2011",449.785718551857,22893.4285714286,2313.28571428571
"5/4/2011",87.2666674626667,27850.3333333333,1134
"5/5/2011",713.93751484325,20597.25,4377.8125
"5/6/2011",806.46249864,17799.625,2811.875
"5/7/2011",1123.65553118222,21565.6666666667,4865
"5/8/2011",36.1800004012,31117.8,4364.4
"5/9/2011",1668.86360000909,23698.1818181818,3990.27272727273
"5/10/2011",146.154546247818,24903.6363636364,3465.63636363636
"5/11/2011",444.954547306182,21760.0909090909,3404.63636363636
"5/12/2011",2475.199990658,18028.2222222222,1145
"5/13/2011",940.259989888,18141,3216.6
"5/14/2011",377.1999932375,23184,3604.25
"5/15/2011",3994.339923982,21045.2,2507
"5/16/2011",133.212497715,25482.625,4188.75
"5/17/2011",221.56249856375,22824,5144
"5/18/2011",86.6642859357143,28134.0714285714,6350
"5/19/2011",1263.76666256667,12091,5679.5
"5/20/2011",407.51250315,22843.375,4178.625
"5/21/2011",1115.86668274333,20664.3333333333,3915.66666666667
"5/22/2011",363.200009954,24357,4779.8
"5/23/2011",566.497622757857,20782.3571428571,5025.09523809524
"5/24/2011",292.931252515,22996.5625,3798.125
"5/25/2011",1903.35338660133,25031.2,4089.46666666667
"5/26/2011",1317.0749703,14810.75,2409.125
"5/27/2011",1247.280007968,17233.4,2393.4
"5/28/2011",119.016667046667,26719.1666666667,4658.5
"5/29/2011",879.8749779775,18795.25,4335.25
"5/30/2011",92.119999686,27957.8,4809.2
"5/31/2011",430.359997791,20549.4,2727
"6/1/2011",3676.55714743571,19724.1428571429,8852.57142857143
"6/2/2011",1375.46666781,17091.5833333333,4084.58333333333
"6/3/2011",1057.7499694,8568.5,1383.75
"6/4/2011",417.842862205714,18814.7142857143,2944.28571428571
"6/5/2011",1212.10000615,8334,1442.25
"6/6/2011",85.2666664133333,28399,4366
"6/7/2011",1246.05451259455,22571.8181818182,3445.72727272727
"6/8/2011",194.650001525,23658.3333333333,7902.66666666667
"6/9/2011",216.62727443,22978.7272727273,3295.09090909091
"6/10/2011",995.6750020975,18539,4220
"6/11/2011",293.440002446,20682.2,3291.8
"6/12/2011",356.466669713333,22039.6666666667,4200.33333333333
"6/13/2011",59.6250009525,30038.5,6201.25
"6/14/2011",271.1125049625,22205.125,6030.875
"6/15/2011",426.0499878,19938,13871
"6/16/2011",4269.77769272111,21352.1111111111,4509
"6/17/2011",738.43750717875,18104.75,3928.875
"6/18/2011",78.80000305,28601,5912
"6/19/2011",523.5999756,10630,184
"6/20/2011",3994.45009788,16090,2115
"6/21/2011",301.50000381,23354.3333333333,5249.33333333333
"6/22/2011",3752.07991037,13423,5314.4
"6/23/2011",1961.16662586667,12023.3333333333,1420.66666666667
"6/24/2011",117.249999975,26146,1311
"6/27/2011",576.744457667778,19771.8888888889,3305.66666666667
"6/28/2011",870.26251553625,21675,3867.25
"6/29/2011",811.2250252575,22964,7251
"6/30/2011",3226.4834034225,17127.8333333333,2806.75
"7/1/2011",283.699997712,20771.4,3183
"7/2/2011",498.560005226,20572.2,4130.6
"7/3/2011",331.900001523333,17452.6666666667,2121.33333333333
"7/4/2011",410.03750515375,16000.375,1342.375
"7/5/2011",238.578944533684,25452.7368421053,4895.73684210526
"7/6/2011",585.900009958,18772,4808.8
"7/7/2011",2858.31672999444,17737.5555555556,1234
"7/8/2011",335.785712088571,19306,1388.57142857143
"7/9/2011",4085.649962842,16410.7,1732.6
"7/10/2011",458.633323645,19484.6666666667,1578.5
"7/11/2011",278.99090715303,20826.1515151515,1701.27272727273
"7/12/2011",148.1375007625,24167.625,1188.5
"7/13/2011",908.085195711852,21923.9259259259,1772.37037037037
"7/14/2011",1465.29231260154,14572,5477.61538461538
"7/15/2011",443.185707877857,18646.8571428571,969.071428571429
"7/16/2011",492.025001525,15622,2659.5
"7/17/2011",164.69999949,23276.6666666667,1807.33333333333
"7/18/2011",630.416665396667,20678.3333333333,3259
"7/19/2011",3071.3000056,14351.6666666667,369.5
"7/20/2011",1033.8666865,16593.5,4851.16666666667
"7/21/2011",1494.28126623812,19867.625,3470.8125
"7/22/2011",294.322222387778,20128.5555555556,2122.77777777778
"7/23/2011",408.779997254,16576.2,4028.6
"7/24/2011",181.4000015,22032.5,5726.5
"7/25/2011",231.316670110833,23048.9166666667,3053.5
"7/26/2011",333.61428071,18596.1428571429,9265.42857142857
"7/27/2011",111.5999985,26695,1168
"7/28/2011",942.37498564125,23095.5,4362
"7/29/2011",2058.45991814,14610.2,1635.4
"7/30/2011",85.69999924,28157.4,5567.4
"7/31/2011",133.30000305,25314,1349
"8/1/2011",2063.19447875222,20283.8333333333,3464
"8/2/2011",356.426674548667,23674.2,2386.06666666667
"8/3/2011",281.421430034286,19790.0714285714,1205.64285714286
"8/4/2011",101.563635746364,27333.4545454545,2110.36363636364
"8/5/2011",316.28749560875,18316.25,2208.125
"8/6/2011",397.611110732222,20770.2222222222,1632.44444444444
"8/7/2011",826.466662728333,15287.6666666667,2616.16666666667
"8/8/2011",742.960020804,23826.1,2961.4
"8/9/2011",131.49999618125,26834.25,6502.625
"8/10/2011",698.033334731667,20760.3333333333,5974.66666666667
"8/11/2011",467.17999263,18583.4,878
"8/12/2011",536.16000976,13702.2,1513.4
"8/13/2011",43.5999997466667,30629.6666666667,10164.3333333333
"8/14/2011",52.65000153,30459.5,4267.5
"8/15/2011",374.585719521429,17112.7142857143,2806.42857142857
"8/16/2011",260.842856817143,22100.2857142857,4856
"8/17/2011",2254.08340181667,17941.3333333333,6893.33333333333
"8/18/2011",2165.70002332071,14762.2142857143,3333.42857142857
"8/19/2011",208.47499848125,23921.875,2907.5
"8/20/2011",93.799997712,27663.6,9144.6
"8/21/2011",1384.47501664125,14427.25,1489.5
"8/22/2011",194.65714208,23311.1428571429,2654.14285714286
"8/23/2011",312.9624929875,22267.75,5516.375
"8/24/2011",1558.51250740875,14043.125,2247.625
"8/25/2011",153.933333076667,24996.3333333333,1293.33333333333
"8/26/2011",341.433340726667,21060,1500.66666666667
"8/27/2011",1180.7500002,6297,3492
"8/28/2011",163.1999969,23156,415
"8/29/2011",152.900001525,24002,835
"8/30/2011",721.157133895714,19421.2857142857,4186.28571428571
"8/31/2011",1220.03752466125,21177.75,4943
"9/1/2011",505.644437131111,19054.6666666667,2697.33333333333
"9/2/2011",11101.67968792,9473,700.4
"9/3/2011",352.06666565,22158,2395
"9/4/2011",18864.09921962,15143.5,2963
"9/5/2011",5087.05703029286,15259.5714285714,619.714285714286
"9/6/2011",508.21428408,20903.7142857143,8222.14285714286
"9/7/2011",348.600002666667,18994.3333333333,4919.66666666667
"9/8/2011",1787.38570032,18815.4285714286,1926.57142857143
"9/9/2011",835.040020828,21898.4,2193.6
"9/10/2011",1116.95554359111,21806.3333333333,10924.6666666667
"9/11/2011",189.966662066667,22656.6666666667,2309.66666666667
"9/12/2011",606.76248355,21337.875,5739.875
"9/13/2011",531.979987684,18133.8,5297.6
"9/14/2011",2098.900020655,16248.3333333333,3455.83333333333
"9/15/2011",2789.06663329889,19347.1111111111,2145.22222222222
"9/16/2011",1232.70909979636,16464.6363636364,5919.18181818182
"9/17/2011",4970.32862844714,15939.1428571429,7315.42857142857
"9/18/2011",1814.74442031556,21239.4444444444,4375.88888888889
"9/19/2011",327.35832789,26693.8333333333,12421.8333333333
"9/20/2011",305.559993583333,23282.6666666667,6456.46666666667
"9/21/2011",279.961106317778,24506.5555555556,6185.72222222222
"9/22/2011",402.305549175556,22969.3333333333,6068
"9/23/2011",4517.24580258958,23155.7083333333,2341.91666666667
"9/24/2011",299.992853145714,22569.7857142857,3731.64285714286
"9/25/2011",112.870587519412,26875.1764705882,9259
"9/26/2011",615.411118364815,23536.4074074074,1813.96296296296
"9/27/2011",140.100001241818,25980.0909090909,7365.09090909091
"9/28/2011",164.4079986852,26655.84,8276.72
"9/29/2011",909.199990679474,25176.7894736842,7498.73684210526
"9/30/2011",124.818749189375,26361.1875,4711.375
"10/1/2011",0,33261.8,27059
"10/2/2011",150.510002903,26603,14136.2
"10/3/2011",841.928560236429,18111.6428571429,2139.64285714286
"10/4/2011",498.211108607111,27349.9111111111,9782.8
"10/5/2011",2317.42228149704,27513.4814814815,9521.22222222222
"10/6/2011",146.71666739625,28580.375,14217.0416666667
"10/7/2011",188.92857106619,25684.9523809524,13185.4285714286
"10/8/2011",1519.69051761429,24930.3333333333,12627.0952380952
"10/9/2011",109.62592737963,28698.1851851852,18943.7777777778
"10/10/2011",1222.79065045531,28113.28125,16705.15625
"10/11/2011",315.539997075667,26268.3,14213.3
"10/12/2011",18.5241380872414,32362.2413793103,19455.5172413793
"10/13/2011",129.849999784375,28068.3125,11867.4375
